"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","02.01.2017 07:00 - 02.01.2017 07:15 (CET/CEST)","0","207","255"
"BZN|NL","02.01.2017 07:15 - 02.01.2017 07:30 (CET/CEST)","0","199","247"
"BZN|NL","02.01.2017 07:30 - 02.01.2017 07:45 (CET/CEST)","0","202","287"
"BZN|NL","02.01.2017 07:45 - 02.01.2017 08:00 (CET/CEST)","0","214","376"
"BZN|NL","02.01.2017 08:00 - 02.01.2017 08:15 (CET/CEST)","0","213","297"
"BZN|NL","02.01.2017 08:15 - 02.01.2017 08:30 (CET/CEST)","0","212","384"
"BZN|NL","02.01.2017 08:30 - 02.01.2017 08:45 (CET/CEST)","0","214","305"
"BZN|NL","02.01.2017 08:45 - 02.01.2017 09:00 (CET/CEST)","0","209","336"
"BZN|NL","02.01.2017 09:00 - 02.01.2017 09:15 (CET/CEST)","0","197","351"
"BZN|NL","02.01.2017 09:15 - 02.01.2017 09:30 (CET/CEST)","0","177","324"
"BZN|NL","02.01.2017 09:30 - 02.01.2017 09:45 (CET/CEST)","0","145","311"
"BZN|NL","02.01.2017 09:45 - 02.01.2017 10:00 (CET/CEST)","0","149","299"
"BZN|NL","02.01.2017 10:00 - 02.01.2017 10:15 (CET/CEST)","0","162","274"
"BZN|NL","02.01.2017 10:15 - 02.01.2017 10:30 (CET/CEST)","0","166","209"
"BZN|NL","02.01.2017 10:30 - 02.01.2017 10:45 (CET/CEST)","0","164","187"
"BZN|NL","02.01.2017 10:45 - 02.01.2017 11:00 (CET/CEST)","0","166","176"
"BZN|NL","02.01.2017 11:00 - 02.01.2017 11:15 (CET/CEST)","0","81","199"
"BZN|NL","02.01.2017 11:15 - 02.01.2017 11:30 (CET/CEST)","0","76","231"
"BZN|NL","02.01.2017 11:30 - 02.01.2017 11:45 (CET/CEST)","0","154","257"
"BZN|NL","02.01.2017 11:45 - 02.01.2017 12:00 (CET/CEST)","0","203","282"
"BZN|NL","02.01.2017 12:00 - 02.01.2017 12:15 (CET/CEST)","0","188","311"
"BZN|NL","02.01.2017 12:15 - 02.01.2017 12:30 (CET/CEST)","0","180","291"
"BZN|NL","02.01.2017 12:30 - 02.01.2017 12:45 (CET/CEST)","0","172","253"
"BZN|NL","02.01.2017 12:45 - 02.01.2017 13:00 (CET/CEST)","0","171","199"
"BZN|NL","02.01.2017 13:00 - 02.01.2017 13:15 (CET/CEST)","0","158","201"
"BZN|NL","02.01.2017 13:15 - 02.01.2017 13:30 (CET/CEST)","0","184","239"
"BZN|NL","02.01.2017 13:30 - 02.01.2017 13:45 (CET/CEST)","0","139","302"
"BZN|NL","02.01.2017 13:45 - 02.01.2017 14:00 (CET/CEST)","0","168","258"
"BZN|NL","02.01.2017 14:00 - 02.01.2017 14:15 (CET/CEST)","0","178","228"
"BZN|NL","02.01.2017 14:15 - 02.01.2017 14:30 (CET/CEST)","0","164","217"
"BZN|NL","02.01.2017 14:30 - 02.01.2017 14:45 (CET/CEST)","0","147","217"
"BZN|NL","02.01.2017 14:45 - 02.01.2017 15:00 (CET/CEST)","0","121","244"
"BZN|NL","02.01.2017 15:00 - 02.01.2017 15:15 (CET/CEST)","0","140","322"
"BZN|NL","02.01.2017 15:15 - 02.01.2017 15:30 (CET/CEST)","0","158","244"
"BZN|NL","02.01.2017 15:30 - 02.01.2017 15:45 (CET/CEST)","0","167","176"
"BZN|NL","02.01.2017 15:45 - 02.01.2017 16:00 (CET/CEST)","0","177","216"
"BZN|NL","02.01.2017 16:00 - 02.01.2017 16:15 (CET/CEST)","0","215","329"
"BZN|NL","02.01.2017 16:15 - 02.01.2017 16:30 (CET/CEST)","0","175","214"
"BZN|NL","02.01.2017 16:30 - 02.01.2017 16:45 (CET/CEST)","0","189","128"
"BZN|NL","02.01.2017 16:45 - 02.01.2017 17:00 (CET/CEST)","0","171","130"
"BZN|NL","02.01.2017 17:00 - 02.01.2017 17:15 (CET/CEST)","0","180","205"
"BZN|NL","02.01.2017 17:15 - 02.01.2017 17:30 (CET/CEST)","0","186","184"
"BZN|NL","02.01.2017 17:30 - 02.01.2017 17:45 (CET/CEST)","0","192","142"
"BZN|NL","02.01.2017 17:45 - 02.01.2017 18:00 (CET/CEST)","0","181","102"
"BZN|NL","02.01.2017 18:00 - 02.01.2017 18:15 (CET/CEST)","0","199","131"
"BZN|NL","02.01.2017 18:15 - 02.01.2017 18:30 (CET/CEST)","0","170","156"
"BZN|NL","02.01.2017 18:30 - 02.01.2017 18:45 (CET/CEST)","0","111","147"
"BZN|NL","02.01.2017 18:45 - 02.01.2017 19:00 (CET/CEST)","0","133","144"
"BZN|NL","02.01.2017 19:00 - 02.01.2017 19:15 (CET/CEST)","0","182","174"
"BZN|NL","02.01.2017 19:15 - 02.01.2017 19:30 (CET/CEST)","0","187","204"
"BZN|NL","02.01.2017 19:30 - 02.01.2017 19:45 (CET/CEST)","0","135","273"
"BZN|NL","02.01.2017 19:45 - 02.01.2017 20:00 (CET/CEST)","0","124","295"
"BZN|NL","02.01.2017 20:00 - 02.01.2017 20:15 (CET/CEST)","0","125","225"
"BZN|NL","02.01.2017 20:15 - 02.01.2017 20:30 (CET/CEST)","0","168","171"
"BZN|NL","02.01.2017 20:30 - 02.01.2017 20:45 (CET/CEST)","0","120","149"
"BZN|NL","02.01.2017 20:45 - 02.01.2017 21:00 (CET/CEST)","0","52","168"
