"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","02.01.2018 11:15 - 02.01.2018 11:30 (CET/CEST)","0","545","274"
"BZN|NL","02.01.2018 11:30 - 02.01.2018 11:45 (CET/CEST)","0","572","296"
"BZN|NL","02.01.2018 11:45 - 02.01.2018 12:00 (CET/CEST)","0","574","307"
"BZN|NL","02.01.2018 12:00 - 02.01.2018 12:15 (CET/CEST)","0","501","292"
"BZN|NL","02.01.2018 12:15 - 02.01.2018 12:30 (CET/CEST)","0","419","305"
"BZN|NL","02.01.2018 12:30 - 02.01.2018 12:45 (CET/CEST)","0","393","285"
"BZN|NL","02.01.2018 12:45 - 02.01.2018 13:00 (CET/CEST)","0","387","236"
"BZN|NL","02.01.2018 13:00 - 02.01.2018 13:15 (CET/CEST)","0","380","216"
"BZN|NL","02.01.2018 13:15 - 02.01.2018 13:30 (CET/CEST)","0","395","230"
"BZN|NL","02.01.2018 13:30 - 02.01.2018 13:45 (CET/CEST)","0","433","273"
"BZN|NL","02.01.2018 13:45 - 02.01.2018 14:00 (CET/CEST)","0","435","301"
"BZN|NL","02.01.2018 14:00 - 02.01.2018 14:15 (CET/CEST)","0","509","357"
"BZN|NL","02.01.2018 14:15 - 02.01.2018 14:30 (CET/CEST)","0","517","371"
"BZN|NL","02.01.2018 14:30 - 02.01.2018 14:45 (CET/CEST)","0","542","328"
"BZN|NL","02.01.2018 14:45 - 02.01.2018 15:00 (CET/CEST)","0","541","288"
"BZN|NL","02.01.2018 15:00 - 02.01.2018 15:15 (CET/CEST)","0","637","285"
"BZN|NL","02.01.2018 15:15 - 02.01.2018 15:30 (CET/CEST)","0","701","307"
"BZN|NL","02.01.2018 15:30 - 02.01.2018 15:45 (CET/CEST)","0","677","324"
"BZN|NL","02.01.2018 15:45 - 02.01.2018 16:00 (CET/CEST)","0","640","309"
"BZN|NL","02.01.2018 16:00 - 02.01.2018 16:15 (CET/CEST)","0","651","305"
"BZN|NL","02.01.2018 16:15 - 02.01.2018 16:30 (CET/CEST)","0","685","300"
"BZN|NL","02.01.2018 16:30 - 02.01.2018 16:45 (CET/CEST)","0","657","305"
"BZN|NL","02.01.2018 16:45 - 02.01.2018 17:00 (CET/CEST)","0","681","320"
"BZN|NL","02.01.2018 17:00 - 02.01.2018 17:15 (CET/CEST)","0","685","343"
"BZN|NL","02.01.2018 17:15 - 02.01.2018 17:30 (CET/CEST)","0","698","324"
"BZN|NL","02.01.2018 17:30 - 02.01.2018 17:45 (CET/CEST)","0","735","293"
"BZN|NL","02.01.2018 17:45 - 02.01.2018 18:00 (CET/CEST)","0","748","301"
"BZN|NL","02.01.2018 18:00 - 02.01.2018 18:15 (CET/CEST)","0","753","353"
"BZN|NL","02.01.2018 18:15 - 02.01.2018 18:30 (CET/CEST)","0","752","399"
"BZN|NL","02.01.2018 18:30 - 02.01.2018 18:45 (CET/CEST)","0","750","470"
"BZN|NL","02.01.2018 18:45 - 02.01.2018 19:00 (CET/CEST)","0","748","534"
"BZN|NL","02.01.2018 19:00 - 02.01.2018 19:15 (CET/CEST)","0","746","524"
"BZN|NL","02.01.2018 19:15 - 02.01.2018 19:30 (CET/CEST)","0","742","548"
"BZN|NL","02.01.2018 19:30 - 02.01.2018 19:45 (CET/CEST)","0","753","558"
"BZN|NL","02.01.2018 19:45 - 02.01.2018 20:00 (CET/CEST)","0","727","540"
"BZN|NL","02.01.2018 20:00 - 02.01.2018 20:15 (CET/CEST)","0","750","587"
"BZN|NL","02.01.2018 20:15 - 02.01.2018 20:30 (CET/CEST)","0","750","592"
"BZN|NL","02.01.2018 20:30 - 02.01.2018 20:45 (CET/CEST)","0","750","574"
"BZN|NL","02.01.2018 20:45 - 02.01.2018 21:00 (CET/CEST)","0","749","614"
"BZN|NL","02.01.2018 21:00 - 02.01.2018 21:15 (CET/CEST)","0","712","631"
"BZN|NL","02.01.2018 21:15 - 02.01.2018 21:30 (CET/CEST)","0","745","647"
"BZN|NL","02.01.2018 21:30 - 02.01.2018 21:45 (CET/CEST)","0","713","646"
"BZN|NL","02.01.2018 21:45 - 02.01.2018 22:00 (CET/CEST)","0","731","637"
"BZN|NL","02.01.2018 22:00 - 02.01.2018 22:15 (CET/CEST)","0","746","642"
"BZN|NL","02.01.2018 22:15 - 02.01.2018 22:30 (CET/CEST)","0","746","647"
