"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","02.01.2024 05:15 - 02.01.2024 05:30 (CET/CEST)","0","2629","2060"
"BZN|NL","02.01.2024 05:30 - 02.01.2024 05:45 (CET/CEST)","0","2817","2097"
"BZN|NL","02.01.2024 05:45 - 02.01.2024 06:00 (CET/CEST)","0","2829","1989"
"BZN|NL","02.01.2024 06:00 - 02.01.2024 06:15 (CET/CEST)","0","2256","1706"
"BZN|NL","02.01.2024 06:15 - 02.01.2024 06:30 (CET/CEST)","0","2240","1751"
"BZN|NL","02.01.2024 06:30 - 02.01.2024 06:45 (CET/CEST)","0","2329","1873"
"BZN|NL","02.01.2024 06:45 - 02.01.2024 07:00 (CET/CEST)","0","2402","1937"
"BZN|NL","02.01.2024 07:00 - 02.01.2024 07:15 (CET/CEST)","0","2904","1817"
"BZN|NL","02.01.2024 07:15 - 02.01.2024 07:30 (CET/CEST)","0","3087","2010"
"BZN|NL","02.01.2024 07:30 - 02.01.2024 07:45 (CET/CEST)","0","3124","2018"
"BZN|NL","02.01.2024 07:45 - 02.01.2024 08:00 (CET/CEST)","0","3179","2168"
"BZN|NL","02.01.2024 08:00 - 02.01.2024 08:15 (CET/CEST)","0","3165","2143"
"BZN|NL","02.01.2024 08:15 - 02.01.2024 08:30 (CET/CEST)","0","3175","2197"
"BZN|NL","02.01.2024 08:30 - 02.01.2024 08:45 (CET/CEST)","0","3178","2167"
"BZN|NL","02.01.2024 08:45 - 02.01.2024 09:00 (CET/CEST)","0","3176","2137"
"BZN|NL","02.01.2024 09:00 - 02.01.2024 09:15 (CET/CEST)","0","3171","2114"
"BZN|NL","02.01.2024 09:15 - 02.01.2024 09:30 (CET/CEST)","2","3173","1987"
"BZN|NL","02.01.2024 09:30 - 02.01.2024 09:45 (CET/CEST)","4","3159","1889"
"BZN|NL","02.01.2024 09:45 - 02.01.2024 10:00 (CET/CEST)","9","3112","1761"
"BZN|NL","02.01.2024 10:00 - 02.01.2024 10:15 (CET/CEST)","13","2941","1739"
"BZN|NL","02.01.2024 10:15 - 02.01.2024 10:30 (CET/CEST)","15","2571","1699"
"BZN|NL","02.01.2024 10:30 - 02.01.2024 10:45 (CET/CEST)","17","2270","1674"
"BZN|NL","02.01.2024 10:45 - 02.01.2024 11:00 (CET/CEST)","22","2310","1625"
"BZN|NL","02.01.2024 11:00 - 02.01.2024 11:15 (CET/CEST)","29","2327","1586"
"BZN|NL","02.01.2024 11:15 - 02.01.2024 11:30 (CET/CEST)","35","2232","1555"
"BZN|NL","02.01.2024 11:30 - 02.01.2024 11:45 (CET/CEST)","34","2160","1519"
"BZN|NL","02.01.2024 11:45 - 02.01.2024 12:00 (CET/CEST)","34","2360","1480"
"BZN|NL","02.01.2024 12:00 - 02.01.2024 12:15 (CET/CEST)","41","2510","1312"
"BZN|NL","02.01.2024 12:15 - 02.01.2024 12:30 (CET/CEST)","46","2607","1194"
"BZN|NL","02.01.2024 12:30 - 02.01.2024 12:45 (CET/CEST)","36","2620","1138"
"BZN|NL","02.01.2024 12:45 - 02.01.2024 13:00 (CET/CEST)","25","2597","1171"
"BZN|NL","02.01.2024 13:00 - 02.01.2024 13:15 (CET/CEST)","19","2585","1155"
"BZN|NL","02.01.2024 13:15 - 02.01.2024 13:30 (CET/CEST)","15","2575","1108"
"BZN|NL","02.01.2024 13:30 - 02.01.2024 13:45 (CET/CEST)","14","2566","1187"
"BZN|NL","02.01.2024 13:45 - 02.01.2024 14:00 (CET/CEST)","14","2593","1231"
"BZN|NL","02.01.2024 14:00 - 02.01.2024 14:15 (CET/CEST)","13","2673","1225"
"BZN|NL","02.01.2024 14:15 - 02.01.2024 14:30 (CET/CEST)","13","2560","1224"
"BZN|NL","02.01.2024 14:30 - 02.01.2024 14:45 (CET/CEST)","10","2481","1315"
"BZN|NL","02.01.2024 14:45 - 02.01.2024 15:00 (CET/CEST)","7","2514","1377"
"BZN|NL","02.01.2024 15:00 - 02.01.2024 15:15 (CET/CEST)","5","2551","1417"
"BZN|NL","02.01.2024 15:15 - 02.01.2024 15:30 (CET/CEST)","3","2617","1453"
"BZN|NL","02.01.2024 15:30 - 02.01.2024 15:45 (CET/CEST)","1","2669","1545"
"BZN|NL","02.01.2024 15:45 - 02.01.2024 16:00 (CET/CEST)","0","2651","1569"
"BZN|NL","02.01.2024 16:00 - 02.01.2024 16:15 (CET/CEST)","0","2659","1676"
"BZN|NL","02.01.2024 16:15 - 02.01.2024 16:30 (CET/CEST)","0","2723","1824"
"BZN|NL","02.01.2024 16:30 - 02.01.2024 16:45 (CET/CEST)","0","2798","1901"
"BZN|NL","02.01.2024 16:45 - 02.01.2024 17:00 (CET/CEST)","0","2844","1929"
"BZN|NL","02.01.2024 17:00 - 02.01.2024 17:15 (CET/CEST)","0","2645","1943"
"BZN|NL","02.01.2024 17:15 - 02.01.2024 17:30 (CET/CEST)","0","2178","1992"
"BZN|NL","02.01.2024 17:30 - 02.01.2024 17:45 (CET/CEST)","0","2147","2102"
"BZN|NL","02.01.2024 17:45 - 02.01.2024 18:00 (CET/CEST)","0","2219","2210"
"BZN|NL","02.01.2024 18:00 - 02.01.2024 18:15 (CET/CEST)","0","2216","2217"
"BZN|NL","02.01.2024 18:15 - 02.01.2024 18:30 (CET/CEST)","0","2147","2245"
"BZN|NL","02.01.2024 18:30 - 02.01.2024 18:45 (CET/CEST)","0","2011","2264"
"BZN|NL","02.01.2024 18:45 - 02.01.2024 19:00 (CET/CEST)","0","1959","2300"
"BZN|NL","02.01.2024 19:00 - 02.01.2024 19:15 (CET/CEST)","0","1840","2295"
"BZN|NL","02.01.2024 19:15 - 02.01.2024 19:30 (CET/CEST)","0","1764","2296"
"BZN|NL","02.01.2024 19:30 - 02.01.2024 19:45 (CET/CEST)","0","1695","2312"
"BZN|NL","02.01.2024 19:45 - 02.01.2024 20:00 (CET/CEST)","0","1600","2279"
"BZN|NL","02.01.2024 20:00 - 02.01.2024 20:15 (CET/CEST)","0","1300","2260"
"BZN|NL","02.01.2024 20:15 - 02.01.2024 20:30 (CET/CEST)","0","1332","2249"
"BZN|NL","02.01.2024 20:30 - 02.01.2024 20:45 (CET/CEST)","0","1398","2248"
"BZN|NL","02.01.2024 20:45 - 02.01.2024 21:00 (CET/CEST)","0","1412","2244"
"BZN|NL","02.01.2024 21:00 - 02.01.2024 21:15 (CET/CEST)","0","1361","2280"
"BZN|NL","02.01.2024 21:15 - 02.01.2024 21:30 (CET/CEST)","0","1410","2282"
"BZN|NL","02.01.2024 21:30 - 02.01.2024 21:45 (CET/CEST)","0","1411","2198"
"BZN|NL","02.01.2024 21:45 - 02.01.2024 22:00 (CET/CEST)","0","1378","1984"
"BZN|NL","02.01.2024 22:00 - 02.01.2024 22:15 (CET/CEST)","0","1339","1823"
"BZN|NL","02.01.2024 22:15 - 02.01.2024 22:30 (CET/CEST)","0","1371","1925"
"BZN|NL","02.01.2024 22:30 - 02.01.2024 22:45 (CET/CEST)","0","1386","1918"
"BZN|NL","02.01.2024 22:45 - 02.01.2024 23:00 (CET/CEST)","0","1350","1869"
"BZN|NL","02.01.2024 23:00 - 02.01.2024 23:15 (CET/CEST)","0","1453","1727"
"BZN|NL","02.01.2024 23:15 - 02.01.2024 23:30 (CET/CEST)","0","1587","1682"
"BZN|NL","02.01.2024 23:30 - 02.01.2024 23:45 (CET/CEST)","0","1692","1703"
"BZN|NL","02.01.2024 23:45 - 03.01.2024 00:00 (CET/CEST)","0","1703","1724"
"BZN|NL","03.01.2024 00:00 - 03.01.2024 00:15 (CET/CEST)","0","1256","1698"
"BZN|NL","03.01.2024 00:15 - 03.01.2024 00:30 (CET/CEST)","0","1117","1758"
"BZN|NL","03.01.2024 00:30 - 03.01.2024 00:45 (CET/CEST)","0","1075","1814"
"BZN|NL","03.01.2024 00:45 - 03.01.2024 01:00 (CET/CEST)","0","1038","1852"
"BZN|NL","03.01.2024 01:00 - 03.01.2024 01:15 (CET/CEST)","0","1053","1885"
"BZN|NL","03.01.2024 01:15 - 03.01.2024 01:30 (CET/CEST)","0","1089","1921"
"BZN|NL","03.01.2024 01:30 - 03.01.2024 01:45 (CET/CEST)","0","1129","1959"
"BZN|NL","03.01.2024 01:45 - 03.01.2024 02:00 (CET/CEST)","0","1130","1983"
"BZN|NL","03.01.2024 02:00 - 03.01.2024 02:15 (CET/CEST)","0","1183","1998"
"BZN|NL","03.01.2024 02:15 - 03.01.2024 02:30 (CET/CEST)","0","1204","1994"
"BZN|NL","03.01.2024 02:30 - 03.01.2024 02:45 (CET/CEST)","0","1449","1950"
"BZN|NL","03.01.2024 02:45 - 03.01.2024 03:00 (CET/CEST)","0","1675","1806"
"BZN|NL","03.01.2024 03:00 - 03.01.2024 03:15 (CET/CEST)","0","2050","1833"
"BZN|NL","03.01.2024 03:15 - 03.01.2024 03:30 (CET/CEST)","0","2221","1865"
"BZN|NL","03.01.2024 03:30 - 03.01.2024 03:45 (CET/CEST)","0","2228","1883"
"BZN|NL","03.01.2024 03:45 - 03.01.2024 04:00 (CET/CEST)","0","2109","1937"
"BZN|NL","03.01.2024 04:00 - 03.01.2024 04:15 (CET/CEST)","0","2092","1963"
"BZN|NL","03.01.2024 04:15 - 03.01.2024 04:30 (CET/CEST)","0","2096","1985"
"BZN|NL","03.01.2024 04:30 - 03.01.2024 04:45 (CET/CEST)","0","2107","2005"
"BZN|NL","03.01.2024 04:45 - 03.01.2024 05:00 (CET/CEST)","0","2111","2006"
"BZN|NL","03.01.2024 05:00 - 03.01.2024 05:15 (CET/CEST)","0","2143","2011"
"BZN|NL","03.01.2024 05:15 - 03.01.2024 05:30 (CET/CEST)","0","2208","1958"
"BZN|NL","03.01.2024 05:30 - 03.01.2024 05:45 (CET/CEST)","0","2199","1944"
"BZN|NL","03.01.2024 05:45 - 03.01.2024 06:00 (CET/CEST)","0","2230","1971"
"BZN|NL","03.01.2024 06:00 - 03.01.2024 06:15 (CET/CEST)","0","2574","2172"
"BZN|NL","03.01.2024 06:15 - 03.01.2024 06:30 (CET/CEST)","0","2736","2315"
"BZN|NL","03.01.2024 06:30 - 03.01.2024 06:45 (CET/CEST)","0","2767","2366"
"BZN|NL","03.01.2024 06:45 - 03.01.2024 07:00 (CET/CEST)","0","2873","2364"
"BZN|NL","03.01.2024 07:00 - 03.01.2024 07:15 (CET/CEST)","0","2894","2349"
"BZN|NL","03.01.2024 07:15 - 03.01.2024 07:30 (CET/CEST)","0","2911","2301"
"BZN|NL","03.01.2024 07:30 - 03.01.2024 07:45 (CET/CEST)","0","2932","2316"
"BZN|NL","03.01.2024 07:45 - 03.01.2024 08:00 (CET/CEST)","0","3021","2334"
"BZN|NL","03.01.2024 08:00 - 03.01.2024 08:15 (CET/CEST)","0","2957","2233"
"BZN|NL","03.01.2024 08:15 - 03.01.2024 08:30 (CET/CEST)","0","2990","2281"
"BZN|NL","03.01.2024 08:30 - 03.01.2024 08:45 (CET/CEST)","0","2991","2269"
"BZN|NL","03.01.2024 08:45 - 03.01.2024 09:00 (CET/CEST)","0","3076","2273"
"BZN|NL","03.01.2024 09:00 - 03.01.2024 09:15 (CET/CEST)","2","3072","2237"
"BZN|NL","03.01.2024 09:15 - 03.01.2024 09:30 (CET/CEST)","5","3067","2231"
"BZN|NL","03.01.2024 09:30 - 03.01.2024 09:45 (CET/CEST)","8","3069","2221"
"BZN|NL","03.01.2024 09:45 - 03.01.2024 10:00 (CET/CEST)","15","3081","2182"
"BZN|NL","03.01.2024 10:00 - 03.01.2024 10:15 (CET/CEST)","26","3079","2212"
"BZN|NL","03.01.2024 10:15 - 03.01.2024 10:30 (CET/CEST)","31","3078","2204"
"BZN|NL","03.01.2024 10:30 - 03.01.2024 10:45 (CET/CEST)","35","3076","2174"
"BZN|NL","03.01.2024 10:45 - 03.01.2024 11:00 (CET/CEST)","36","3065","2224"
"BZN|NL","03.01.2024 11:00 - 03.01.2024 11:15 (CET/CEST)","35","3060","2251"
"BZN|NL","03.01.2024 11:15 - 03.01.2024 11:30 (CET/CEST)","41","3052","2230"
"BZN|NL","03.01.2024 11:30 - 03.01.2024 11:45 (CET/CEST)","45","3033","2267"
"BZN|NL","03.01.2024 11:45 - 03.01.2024 12:00 (CET/CEST)","58","3035","2267"
"BZN|NL","03.01.2024 12:00 - 03.01.2024 12:15 (CET/CEST)","56","3129","2251"
"BZN|NL","03.01.2024 12:15 - 03.01.2024 12:30 (CET/CEST)","64","3146","2264"
"BZN|NL","03.01.2024 12:30 - 03.01.2024 12:45 (CET/CEST)","51","3136","2293"
"BZN|NL","03.01.2024 12:45 - 03.01.2024 13:00 (CET/CEST)","47","3139","2251"
"BZN|NL","03.01.2024 13:00 - 03.01.2024 13:15 (CET/CEST)","39","3139","2298"
"BZN|NL","03.01.2024 13:15 - 03.01.2024 13:30 (CET/CEST)","40","3135","2263"
"BZN|NL","03.01.2024 13:30 - 03.01.2024 13:45 (CET/CEST)","39","3103","2165"
"BZN|NL","03.01.2024 13:45 - 03.01.2024 14:00 (CET/CEST)","32","3071","2146"
"BZN|NL","03.01.2024 14:00 - 03.01.2024 14:15 (CET/CEST)","33","3064","2081"
"BZN|NL","03.01.2024 14:15 - 03.01.2024 14:30 (CET/CEST)","24","3028","2114"
"BZN|NL","03.01.2024 14:30 - 03.01.2024 14:45 (CET/CEST)","29","2951","2038"
"BZN|NL","03.01.2024 14:45 - 03.01.2024 15:00 (CET/CEST)","26","2856","2013"
"BZN|NL","03.01.2024 15:00 - 03.01.2024 15:15 (CET/CEST)","20","2707","1944"
"BZN|NL","03.01.2024 15:15 - 03.01.2024 15:30 (CET/CEST)","12","2664","1858"
"BZN|NL","03.01.2024 15:30 - 03.01.2024 15:45 (CET/CEST)","8","2624","1815"
"BZN|NL","03.01.2024 15:45 - 03.01.2024 16:00 (CET/CEST)","6","2570","1608"
"BZN|NL","03.01.2024 16:00 - 03.01.2024 16:15 (CET/CEST)","3","2566","1340"
"BZN|NL","03.01.2024 16:15 - 03.01.2024 16:30 (CET/CEST)","1","2585","1401"
"BZN|NL","03.01.2024 16:30 - 03.01.2024 16:45 (CET/CEST)","0","2475","1397"
"BZN|NL","03.01.2024 16:45 - 03.01.2024 17:00 (CET/CEST)","0","2400","1310"
"BZN|NL","03.01.2024 17:00 - 03.01.2024 17:15 (CET/CEST)","0","2295","1285"
"BZN|NL","03.01.2024 17:15 - 03.01.2024 17:30 (CET/CEST)","0","2155","1234"
"BZN|NL","03.01.2024 17:30 - 03.01.2024 17:45 (CET/CEST)","0","2113","1126"
"BZN|NL","03.01.2024 17:45 - 03.01.2024 18:00 (CET/CEST)","0","2135","1088"
"BZN|NL","03.01.2024 18:00 - 03.01.2024 18:15 (CET/CEST)","0","2087","1005"
"BZN|NL","03.01.2024 18:15 - 03.01.2024 18:30 (CET/CEST)","0","2020","970"
"BZN|NL","03.01.2024 18:30 - 03.01.2024 18:45 (CET/CEST)","0","1990","926"
"BZN|NL","03.01.2024 18:45 - 03.01.2024 19:00 (CET/CEST)","0","2035","912"
"BZN|NL","03.01.2024 19:00 - 03.01.2024 19:15 (CET/CEST)","0","2003","904"
"BZN|NL","03.01.2024 19:15 - 03.01.2024 19:30 (CET/CEST)","0","2018","928"
"BZN|NL","03.01.2024 19:30 - 03.01.2024 19:45 (CET/CEST)","0","2043","938"
"BZN|NL","03.01.2024 19:45 - 03.01.2024 20:00 (CET/CEST)","0","2044","864"
"BZN|NL","03.01.2024 20:00 - 03.01.2024 20:15 (CET/CEST)","0","2046","800"
"BZN|NL","03.01.2024 20:15 - 03.01.2024 20:30 (CET/CEST)","0","2027","789"
"BZN|NL","03.01.2024 20:30 - 03.01.2024 20:45 (CET/CEST)","0","2077","801"
"BZN|NL","03.01.2024 20:45 - 03.01.2024 21:00 (CET/CEST)","0","2101","881"
